,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,margate,51.38,1.39,41.0,93,75,12.75,GB,1580184370
280,vostok,46.49,135.88,27.48,74,5,1.77,RU,1580184369
281,butterworth,5.4,100.36,89.6,62,20,8.05,MY,1580184461
282,talnakh,69.49,88.4,8.6,78,75,17.9,RU,1580184355
283,kurilsk,45.23,147.88,23.76,53,0,6.85,RU,1580184392
284,great yarmouth,52.61,1.73,41.0,93,95,8.05,GB,1580184461
285,nioro,13.35,-15.75,71.55,11,0,0.81,GM,1580184461
286,lagos,6.58,3.75,71.6,94,100,2.24,NG,1580184413
287,sioux lookout,50.1,-91.92,15.8,85,90,3.36,CA,1580184365
288,ancud,-41.87,-73.82,60.8,100,90,3.36,CL,1580184357
289,sao filipe,14.9,-24.5,74.19,55,73,17.29,CV,1580184462
290,tarko-sale,64.92,77.78,11.68,94,100,14.23,RU,1580184462
291,ouallam,14.32,2.09,68.45,7,100,11.79,NE,1580184462
292,honningsvag,70.98,25.97,22.6,64,37,21.45,NO,1580184462
293,fairbanks,64.84,-147.72,-18.99,74,90,2.98,US,1580184358
294,tula,54.2,37.61,30.0,97,100,8.81,RU,1580184462
295,la ronge,55.1,-105.28,12.2,92,90,4.45,CA,1580184363
296,lata,40.16,-8.33,59.0,100,75,8.05,PT,1580184367
297,pirai do sul,-24.53,-49.95,72.0,86,52,1.01,BR,1580184419
298,itaituba,-4.28,-55.98,74.23,92,89,2.33,BR,1580184372
299,remedios,22.49,-79.55,68.0,88,20,3.36,CU,1580184462
300,freeport,40.66,-73.58,42.01,60,90,17.87,US,1580184364
301,bathsheba,13.22,-59.52,78.8,78,40,11.41,BB,1580184462
302,narsaq,60.92,-46.05,14.0,56,80,5.82,GL,1580184368
303,sao jose da coroa grande,-8.9,-35.15,80.78,80,37,10.8,BR,1580184462
304,mar del plata,-38.0,-57.56,60.01,76,0,4.7,AR,1580184356
305,jadu,31.95,12.03,49.93,81,0,2.39,LY,1580184462
306,harper,4.38,-7.72,76.64,90,16,1.52,LR,1580184350
307,cedar city,37.68,-113.06,35.6,59,1,6.93,US,1580184462
308,conde,-7.26,-34.91,80.6,83,86,4.7,BR,1580184462
309,savannah bight,16.45,-85.85,78.57,71,0,7.72,HN,1580184463
310,ostrovnoy,68.05,39.51,3.72,99,68,6.15,RU,1580184369
311,takoradi,4.88,-1.76,75.96,91,3,1.48,GH,1580184369
312,honiara,-9.43,159.95,89.6,70,40,9.17,SB,1580184171
313,husavik,66.04,-17.34,14.0,85,100,11.41,IS,1580184463
314,gidole,5.65,37.37,66.24,82,75,2.01,ET,1580184463
315,kuzino,57.02,59.44,-10.39,98,100,7.78,RU,1580184463
316,cerrito,6.84,-72.69,68.0,100,40,3.36,CO,1580184463
317,christchurch,-43.53,172.63,75.2,57,95,5.82,NZ,1580184192
318,san roque,36.21,-5.38,55.4,82,0,9.17,ES,1580184463
319,sitka,57.05,-135.33,35.6,94,90,17.22,US,1580184332
320,praia,14.92,-23.51,71.6,68,67,16.11,CV,1580184377
321,khatanga,71.97,102.5,-15.7,91,0,8.01,RU,1580184356
322,talcahuano,-36.72,-73.12,62.6,82,0,12.75,CL,1580184463
323,troitsk,54.1,61.58,-0.42,93,88,8.75,RU,1580184463
324,portland,45.52,-122.68,53.01,87,90,12.75,US,1580184211
325,praya,14.92,-23.51,71.6,68,67,16.11,CV,1580184463
326,great falls,47.5,-111.3,37.4,68,40,12.75,US,1580184164
327,wanaka,-44.7,169.15,81.0,35,100,5.99,NZ,1580184348
328,bitkine,11.98,18.21,63.25,14,92,7.4,TD,1580184463
329,nova vcelnice,49.24,15.07,37.99,95,100,1.01,CZ,1580184464
330,omboue,-1.57,9.26,75.36,95,0,0.49,GA,1580184464
331,taucha,51.38,12.48,45.0,81,75,14.99,DE,1580184464
332,yar-sale,66.83,70.83,-5.55,96,93,14.61,RU,1580184355
333,mulhouse,47.67,7.42,46.99,87,75,3.36,FR,1580184464
334,yarmouth,41.71,-70.23,41.0,60,90,4.7,US,1580184464
335,damghan,36.17,54.35,29.52,59,0,0.43,IR,1580184464
336,nome,64.5,-165.41,1.4,49,1,17.22,US,1580184258
337,ambon,-3.7,128.18,95.0,53,40,5.82,ID,1580184464
338,eureka,40.8,-124.16,54.0,81,90,6.93,US,1580184367
339,manicaragua,22.15,-79.97,71.6,88,31,3.36,CU,1580184464
340,aventura,25.96,-80.14,68.0,60,40,3.36,US,1580184464
341,boizenburg,53.38,10.72,42.8,87,75,11.41,DE,1580184464
342,nago,26.59,127.98,66.2,59,75,17.22,JP,1580184464
343,aswan,24.09,32.91,53.11,63,33,6.89,EG,1580184464
344,uruzgan,32.83,66.0,8.55,63,0,11.54,AF,1580184464
345,muncar,-8.43,114.33,83.46,75,3,5.7,ID,1580184464
346,san quintin,30.48,-115.95,58.91,79,0,6.46,MX,1580184464
347,jefferson city,38.58,-92.17,32.0,93,90,5.82,US,1580184428
348,huarmey,-10.07,-78.15,70.84,77,100,4.29,PE,1580184464
349,telemaco borba,-24.32,-50.62,64.58,97,33,1.57,BR,1580184465
350,bima,-8.47,118.72,86.76,69,24,3.69,ID,1580184465
351,mangan,27.52,88.53,40.78,61,93,1.92,IN,1580184465
352,ilinskiy,55.62,38.12,21.2,85,90,13.42,RU,1580184465
353,vardo,70.37,31.11,12.2,85,75,12.75,NO,1580184263
354,gat,31.61,34.76,50.0,87,100,3.36,IL,1580184356
355,berbera,10.44,45.01,77.16,67,4,12.06,SO,1580184465
356,kahului,20.89,-156.47,82.4,54,20,9.17,US,1580184227
357,rorvik,64.86,11.24,35.01,73,100,3.0,NO,1580184465
358,bocaiuva,-17.11,-43.81,71.6,100,100,3.29,BR,1580184425
359,tomigusuku,26.18,127.67,66.2,59,75,17.22,JP,1580184465
360,kenai,60.55,-151.26,6.01,77,90,9.17,US,1580184465
361,dorado,18.46,-66.27,78.8,83,40,2.35,PR,1580184465
362,barentu,15.11,37.59,51.12,77,0,1.28,ER,1580184465
363,olavarria,-36.89,-60.32,61.0,55,0,11.27,AR,1580184465
364,malmyzh,56.52,50.68,-10.98,96,0,6.46,RU,1580184465
365,bodinayakkanur,10.02,77.35,71.08,59,0,1.32,IN,1580184465
366,wanning,18.8,110.4,63.63,87,100,8.75,CN,1580184331
367,dicabisagan,17.08,122.42,79.95,64,2,3.71,PH,1580184351
368,katangli,51.71,143.23,16.14,91,100,4.16,RU,1580184465
369,salinopolis,-0.61,-47.36,82.08,79,100,14.36,BR,1580184465
370,teya,60.38,92.63,18.72,94,100,7.85,RU,1580184465
371,pacific grove,36.62,-121.92,54.0,87,75,6.93,US,1580184108
372,hohoe,7.15,0.47,69.78,72,36,2.3,GH,1580184466
373,belmonte,-15.86,-38.88,77.0,94,75,3.36,BR,1580184466
374,payo,-3.75,103.64,74.35,91,100,2.01,ID,1580184466
375,kununurra,-15.77,128.73,100.4,37,48,5.82,AU,1580184376
376,minatitlan,17.98,-94.52,71.38,95,4,5.97,MX,1580184466
377,tabuk,17.42,121.44,76.98,72,3,6.69,PH,1580184466
378,bougouni,11.42,-7.48,68.18,10,67,4.09,ML,1580184466
379,buraydah,26.33,43.98,33.8,74,0,4.63,SA,1580184371
380,rafraf,37.19,10.18,50.0,87,20,5.82,TN,1580184466
381,yarada,17.65,83.27,77.0,88,20,6.93,IN,1580184329
382,sao joao da barra,-21.64,-41.05,76.26,90,100,13.98,BR,1580184466
383,vao,-22.67,167.48,77.68,81,68,16.04,NC,1580184364
384,tsaratanana,-16.78,47.65,67.5,91,68,3.91,MG,1580184466
385,elliot,-31.33,27.85,48.4,71,81,5.08,ZA,1580184466
386,blagoyevo,63.37,47.92,-14.76,99,14,3.76,RU,1580184466
387,surt,31.21,16.59,53.37,86,0,4.76,LY,1580184466
388,brae,60.4,-1.35,41.0,86,65,13.87,GB,1580184466
389,garowe,8.41,48.48,68.63,56,100,11.56,SO,1580184379
390,seydisehir,37.42,31.85,34.79,93,100,3.58,TR,1580184466
391,outjo,-20.12,16.15,68.0,77,100,2.24,NA,1580184466
392,krasnaya gorka,55.2,56.67,-6.05,98,87,5.61,RU,1580184466
393,hambantota,6.12,81.12,75.2,94,20,2.24,LK,1580184368
394,yerbogachen,61.28,108.01,4.15,90,100,7.54,RU,1580184467
395,eyl,7.98,49.82,76.37,72,89,26.6,SO,1580184467
396,viradouro,-20.87,-48.3,75.2,78,0,3.67,BR,1580184348
397,mahenge,-8.68,36.72,72.86,97,68,4.83,TZ,1580184467
398,coolum beach,-26.53,153.1,86.0,81,6,1.01,AU,1580184452
399,shunyi,40.12,116.65,39.99,48,99,2.24,CN,1580184467
400,sisimiut,66.94,-53.67,-1.28,93,100,6.29,GL,1580184467
401,saint-pierre,-21.34,55.48,75.2,57,1,6.93,RE,1580184467
402,cap-aux-meules,47.38,-61.86,30.2,92,90,4.7,CA,1580184467
403,buchanan,5.88,-10.05,77.0,94,40,1.45,LR,1580184306
404,salalah,17.02,54.09,62.6,27,0,18.34,OM,1580184349
405,dunedin,-45.87,170.5,66.0,73,71,10.0,NZ,1580184375
406,guider,9.93,13.95,65.23,18,83,7.0,CM,1580184467
407,naze,28.37,129.48,66.2,63,75,11.41,JP,1580184358
408,nantucket,41.28,-70.1,39.99,74,40,10.29,US,1580184367
409,mumford,5.26,-0.76,74.39,95,15,2.19,GH,1580184467
410,merrill,45.18,-89.68,28.4,79,90,4.7,US,1580184467
411,taiyuan,37.87,112.56,35.6,64,16,2.24,CN,1580184467
412,valparaiso,-33.04,-71.63,60.8,93,20,5.82,CL,1580184467
413,bagdarin,54.43,113.6,6.4,78,0,1.12,RU,1580184467
414,sangmelima,2.93,11.98,63.97,94,0,2.8,CM,1580184467
415,biak,-0.91,122.88,82.69,77,87,3.04,ID,1580184349
416,namwala,-15.75,26.44,69.44,67,99,1.48,ZM,1580184468
417,lyuban,52.8,28.0,32.18,78,80,5.19,BY,1580184361
418,safaga,26.73,33.94,51.8,57,56,6.93,EG,1580184352
419,naron,43.52,-8.15,54.0,93,20,4.7,ES,1580184468
420,cocobeach,1.0,9.58,84.2,79,40,4.7,GA,1580184468
421,moerai,-22.43,-151.33,80.24,79,100,12.19,PF,1580184468
422,hermitage,41.23,-80.45,34.0,86,90,8.05,US,1580184468
423,goderich,43.75,-81.72,34.0,85,100,1.01,CA,1580184364
424,northam,51.03,-4.22,41.0,75,100,10.0,GB,1580184468
425,ferme-neuve,46.7,-75.45,21.72,95,93,4.9,CA,1580184468
426,ukiah,39.15,-123.21,53.01,87,90,2.35,US,1580184291
427,sorland,67.67,12.69,30.2,68,20,14.99,NO,1580184357
428,marystown,47.17,-55.15,31.37,89,19,11.21,CA,1580184468
429,sovetskiy,61.36,63.58,-6.47,94,100,8.43,RU,1580184468
430,mount isa,-20.73,139.5,86.0,62,75,14.99,AU,1580184360
431,khani,41.96,42.96,46.4,42,40,16.11,GE,1580184356
432,umm kaddadah,13.6,26.69,55.2,26,51,11.41,SD,1580184468
433,traverse city,44.76,-85.62,33.8,83,90,3.36,US,1580184457
434,calvinia,-31.47,19.78,62.29,26,92,0.92,ZA,1580184468
435,vidim,56.41,103.11,10.49,84,0,3.2,RU,1580184468
436,forestville,38.85,-76.88,43.0,52,90,5.82,US,1580184376
437,burnie,-41.07,145.92,69.01,67,77,13.0,AU,1580184468
438,bathurst,-33.42,149.58,95.0,38,100,4.0,AU,1580184469
439,zbarazh,49.66,25.78,32.68,89,7,3.69,UA,1580184469
440,joshimath,30.57,79.57,31.06,54,97,4.07,IN,1580184469
441,yankton,42.87,-97.4,26.6,86,90,3.33,US,1580184469
442,ascension,30.22,-90.9,53.6,87,1,3.36,US,1580184469
443,ntcheu,-14.82,34.64,62.4,98,100,5.17,MW,1580184469
444,arinos,-15.92,-46.11,70.68,94,100,3.0,BR,1580184469
445,puerto narino,-3.77,-70.38,78.8,100,75,4.7,CO,1580184469
446,yambio,4.57,28.4,63.23,32,39,2.57,SS,1580184469
447,conceicao da barra,-18.59,-39.73,80.46,83,100,11.63,BR,1580184469
448,kavaratti,10.57,72.64,82.4,74,20,4.7,IN,1580184363
449,lubao,14.92,120.55,86.0,58,75,4.7,PH,1580184469
450,bosaso,11.28,49.18,75.51,64,33,26.19,SO,1580184469
451,san luis,-33.3,-66.34,78.98,36,0,16.06,AR,1580184469
452,port lincoln,-34.73,135.87,73.8,49,76,8.23,AU,1580184350
453,mana,5.66,-53.78,74.23,98,100,2.28,GF,1580184469
454,ubinskoye,55.31,79.68,12.96,93,99,11.74,RU,1580184469
455,morehead,37.27,-87.18,33.01,90,90,4.7,US,1580184376
456,macenta,8.54,-9.47,62.38,20,90,1.5,GN,1580184469
457,kruisfontein,-34.0,24.73,55.47,85,45,4.59,ZA,1580184362
458,victoria,22.29,114.16,55.99,54,40,9.17,HK,1580184145
459,collierville,35.04,-89.66,44.01,87,1,3.85,US,1580184470
460,manggar,-2.88,108.27,82.35,77,88,6.64,ID,1580184379
461,mackenzie,55.3,-123.17,32.0,97,90,2.24,CA,1580184470
462,narasannapeta,18.42,84.05,75.92,73,27,1.9,IN,1580184470
463,kalabo,-14.97,22.68,65.52,94,33,4.81,ZM,1580184374
464,karratha,-20.74,116.85,84.7,76,25,10.42,AU,1580184373
465,joensuu,62.58,29.75,17.01,78,90,11.41,FI,1580184470
466,kodinsk,58.69,99.18,13.24,93,100,6.22,RU,1580184470
467,berlevag,70.86,29.09,24.08,74,76,13.65,NO,1580184375
468,blora,-6.97,111.42,84.92,73,1,3.38,ID,1580184470
469,san isidro,-12.12,-77.05,75.2,83,75,14.99,PE,1580184275
470,chokurdakh,70.63,147.92,-21.78,97,100,8.5,RU,1580184358
471,beringovskiy,63.05,179.32,7.74,87,51,10.49,RU,1580184374
472,isangel,-19.55,169.27,87.8,66,20,9.17,VU,1580184353
473,raudeberg,61.99,5.14,39.0,69,78,19.46,NO,1580184470
474,assomada,15.1,-23.68,71.6,68,67,16.11,CV,1580184470
475,tekeli,44.83,78.82,10.18,71,100,10.49,KZ,1580184470
476,yenagoa,4.92,6.26,74.37,89,33,3.13,NG,1580184470
477,jidong,45.22,131.08,24.55,61,100,2.73,CN,1580184470
478,miranda,3.25,-76.23,73.4,78,75,2.24,CO,1580184470
479,ramnagar,29.4,79.12,55.92,60,37,7.92,IN,1580184470
480,hailar,49.2,119.7,-0.22,94,3,1.52,CN,1580184203
481,oyama,36.3,139.8,48.2,93,90,12.75,JP,1580184471
482,mecca,21.43,39.83,62.2,26,0,1.25,SA,1580184310
483,nuuk,64.18,-51.72,12.0,85,90,6.93,GL,1580184411
484,cabangahan,9.08,122.95,87.8,70,20,9.17,PH,1580184471
485,muros,42.78,-9.06,57.0,93,75,6.93,ES,1580184358
486,te anau,-45.42,167.72,64.81,58,100,5.97,NZ,1580184360
487,sharjah,25.36,55.4,59.0,82,20,5.82,AE,1580184471
488,coquimbo,-29.95,-71.34,64.4,88,75,8.05,CL,1580184363
489,playas,-2.63,-80.38,76.24,83,68,6.38,EC,1580184471
490,san cristobal,7.77,-72.22,80.6,74,75,0.83,VE,1580184471
491,manaus,-3.1,-60.02,78.8,94,75,2.24,BR,1580184471
492,srednekolymsk,67.45,153.68,-23.24,92,100,6.33,RU,1580184471
493,cabra,37.47,-4.44,50.0,93,90,1.12,ES,1580184471
494,bowling green,36.99,-86.44,35.6,91,1,4.03,US,1580184364
495,college,64.86,-147.8,-18.99,74,90,3.02,US,1580184471
496,hofn,64.25,-15.21,38.52,69,0,9.15,IS,1580184357
497,zhigansk,66.77,123.37,-30.12,87,6,8.12,RU,1580184472
498,puerto del rosario,28.5,-13.86,62.6,82,40,10.29,ES,1580184472
499,blackfoot,43.19,-112.34,33.8,80,1,12.75,US,1580184472
500,menongue,-14.66,17.69,61.48,95,99,1.34,AO,1580184472
501,bonavista,48.65,-53.11,30.99,89,100,13.0,CA,1580184276
502,anadyr,64.75,177.48,3.2,84,90,2.24,RU,1580184371
503,popondetta,-8.75,148.25,82.11,84,98,3.67,PG,1580184472
504,juegang,32.32,121.19,42.01,82,69,12.48,CN,1580184472
505,sola,-13.88,167.55,82.4,83,90,2.24,VU,1580184370
506,nuevo ideal,24.89,-105.07,50.0,42,0,8.05,MX,1580184472
507,maltahohe,-24.83,16.98,66.58,20,0,8.41,NA,1580184472
508,terrace,54.52,-128.6,33.8,100,90,2.24,CA,1580184472
509,namibe,-15.2,12.15,76.21,80,100,5.73,AO,1580184372
510,kloulklubed,7.04,134.26,87.8,66,75,11.41,PW,1580184472
511,mandurah,-32.55,115.7,91.4,33,0,14.99,AU,1580184472
512,yatou,37.15,122.38,39.65,93,100,10.25,CN,1580184472
513,kabo,7.7,18.63,65.28,21,0,2.8,CF,1580184472
514,leshukonskoye,64.9,45.76,-1.77,97,99,5.35,RU,1580184472
515,qasigiannguit,68.82,-51.19,6.8,60,100,6.93,GL,1580184360
516,fukuma,33.77,130.47,55.99,87,75,18.34,JP,1580184472
517,caucasia,7.99,-75.19,73.78,95,21,2.73,CO,1580184472
518,khandyga,62.67,135.6,-10.43,95,100,1.1,RU,1580184473
519,taybad,34.74,60.78,30.69,79,0,15.43,IR,1580184473
520,kabanjahe,3.1,98.49,87.8,70,20,9.17,ID,1580184425
521,sao sepe,-30.16,-53.57,70.41,73,5,9.53,BR,1580184473
522,orizona,-17.03,-48.3,64.89,96,100,5.1,BR,1580184473
523,nouakchott,18.09,-15.98,68.0,37,0,11.41,MR,1580184210
524,mahe,11.7,75.53,77.0,94,20,4.7,IN,1580184473
525,piedra gorda,18.43,-66.89,78.01,100,13,4.65,PR,1580184473
526,vila do maio,15.13,-23.22,71.6,68,66,16.11,CV,1580184473
527,bibiani,6.46,-2.32,68.61,91,2,1.63,GH,1580184473
528,upata,8.01,-62.4,72.64,88,0,4.38,VE,1580184367
529,pauini,-7.71,-66.98,75.15,92,71,2.93,BR,1580184473
530,arona,28.1,-16.68,60.8,67,20,12.75,ES,1580184473
531,sistranda,63.73,8.83,41.0,86,40,9.17,NO,1580184473
532,mocuba,-16.84,36.99,74.23,98,100,1.79,MZ,1580184473
533,jiayuguan,39.82,98.3,28.35,31,60,0.72,CN,1580184473
534,mizan teferi,6.98,35.58,64.04,81,65,2.75,ET,1580184473
535,shiggaon,15.0,75.23,68.0,94,75,5.44,IN,1580184473
536,nivala,63.92,25.0,17.01,91,100,8.01,FI,1580184473
537,loukhi,66.08,33.04,-3.37,87,0,3.38,RU,1580184474
538,bayir,37.27,28.22,51.8,93,75,8.05,TR,1580184474
539,suffolk,40.87,-72.8,42.01,69,90,6.93,US,1580184398
540,springbok,-29.66,17.89,56.73,31,50,3.22,ZA,1580184474
541,hualmay,-11.1,-77.61,70.59,81,100,5.55,PE,1580184377
542,oktyabrskoye,43.06,44.74,26.6,92,100,6.71,RU,1580184474
543,elat,29.56,34.95,46.4,61,100,6.06,IL,1580184474
544,port huron,42.97,-82.42,35.6,86,90,5.06,US,1580184374
545,marsh harbour,26.54,-77.06,72.16,70,100,2.73,BS,1580184474
546,nova olimpia,-14.8,-57.29,76.33,86,82,2.01,BR,1580184474
547,cherlak,54.16,74.81,10.09,92,100,11.32,RU,1580184474
548,tayu,-6.54,111.05,87.42,64,42,3.15,ID,1580184474
549,gizo,-8.1,156.84,84.13,72,58,7.52,SB,1580184474
550,guane,22.2,-84.09,74.55,80,8,6.26,CU,1580184474
551,bouna,9.27,-3.0,68.77,12,36,4.03,CI,1580184474
552,pendencias,-5.26,-36.72,79.54,76,97,12.28,BR,1580184444
553,ulladulla,-35.35,150.47,93.99,65,75,14.99,AU,1580184253
554,faisalabad,31.42,73.08,51.87,91,100,6.51,PK,1580184425
555,lorengau,-2.02,147.27,84.33,78,97,12.57,PG,1580184354
556,namatanai,-3.67,152.43,83.89,77,21,14.7,PG,1580184475
557,victor harbor,-35.57,138.62,86.0,50,100,13.87,AU,1580184475
558,aitape,-3.14,142.35,83.01,75,99,9.51,PG,1580184475
559,querendaro,19.87,-100.92,62.6,39,5,8.05,MX,1580184475
560,san jeronimo,-11.95,-75.28,46.13,84,100,3.71,PE,1580184475
561,taloda,21.57,74.22,64.58,60,0,8.21,IN,1580184475
562,port-gentil,-0.72,8.78,82.67,76,3,7.07,GA,1580184364
